employee_id,first_name,last_name,gender,date_of_birth,ssn,email,phone_number,address,job_title,department,salary,hire_date,manager_name
23,Thomas,Mcintyre,Female,1977-04-01,680-84-2493,ihanna@example.net,001-851-471-8702,"9615 Finley Road Suite 809, East Crystalport, IN 98381",Chemical engineer,Marketing,75203,2020-06-07,Mark Brennan
24,Scott,Benson,Other,2000-09-30,048-42-0920,michael62@example.org,569.922.2196x93792,"0748 Charles Key Suite 647, Jamesfurt, PR 63836",Clinical biochemist,Engineering,56006,2018-06-19,Laura Haney
25,Kenneth,Spence,Other,1989-09-18,282-02-9273,lozanojulie@example.com,001-739-453-3942x10470,"6232 Schmidt Groves Apt. 474, Lindamouth, CA 18950",Equities trader,HR,151327,2024-09-11,Veronica Coffey
26,Linda,Diaz,Female,1995-09-04,015-34-8792,gibsonemily@example.net,596-351-3709x859,"461 Brandon Camp Suite 711, New Derek, NH 49130","Sound technician, broadcasting/film/video",Engineering,162108,2020-04-14,Brittany Perry
27,Corey,Burns,Male,1978-06-17,287-05-6071,scottsampson@example.com,958-350-6431,"53293 Maria Plaza, New Jason, VI 31040",Land/geomatics surveyor,Engineering,99823,2023-11-02,Linda Ramirez
28,Tracey,Huerta,Female,1984-05-27,818-23-1802,andersonmichael@example.org,001-350-324-0268,"917 Sonia Cape Suite 700, Boonechester, TX 14651",Recycling officer,Sales,133320,2023-03-21,Steven Morris
29,Eddie,Martinez,Female,1988-03-09,600-71-5328,hvang@example.com,789.961.1836x736,"6545 Gloria Mountains, North Marieland, NE 13157",Microbiologist,HR,98520,2024-03-18,Laurie Hoffman
30,Mark,Martinez,Female,1976-01-03,682-97-6930,schmittcaroline@example.com,798-332-7315,"8998 Chelsea Shoals, Anthonyview, UT 41000","Librarian, academic",HR,137841,2019-08-09,Charles Sandoval
31,Chad,Figueroa,Female,2003-10-29,094-96-8692,nicholaschavez@example.org,(645)999-1022x901,"764 Kari Crescent Suite 614, Roseport, AZ 29404",Nutritional therapist,Operations,172769,2025-12-09,Dan Dougherty
32,Katrina,Duran,Other,1973-02-12,123-01-8150,ythompson@example.net,001-738-885-1606x071,"1605 Laurie River Suite 516, East Ryanfurt, NC 10809",Occupational hygienist,Operations,59358,2024-10-19,Connie Maxwell
33,Charles,Schultz,Other,1983-12-21,199-45-5753,joelthomas@example.org,(992)712-7799,"71774 Vargas Knoll Apt. 477, North Miguelport, CA 84998",Chemical engineer,Operations,72431,2022-03-30,Julie Spencer
34,Latoya,Huang,Other,1980-05-01,830-74-3085,cassidy82@example.org,415.718.2037x788,"6590 Jones Court Suite 449, West Christopher, TN 19038",Maintenance engineer,Operations,82087,2019-03-13,Mary Anderson
35,Jeanne,Miller,Male,1985-03-31,659-43-2094,lucasrodney@example.com,4544235733,"880 Walter River, New Nicholas, GA 24204",Diagnostic radiographer,Sales,99735,2023-04-22,Jackson Ball
36,Tara,Bishop,Female,1993-12-14,803-58-3834,kylestokes@example.com,859.477.4688,"0758 Jennifer Path, West Christopherburgh, KY 59394",Scientific laboratory technician,Operations,140198,2017-07-26,Travis Walker
37,Shannon,Bailey,Other,1961-04-17,055-51-8225,joe15@example.org,4519522047,"04328 Rodriguez Heights, West David, IA 55528",Writer,HR,139733,2020-08-30,Taylor Carlson
38,Allen,Robertson,Female,1970-12-24,148-38-7033,mendezjohn@example.com,(218)851-8888,"654 Michael Cliff, Johnville, WI 76772",Learning mentor,Engineering,80021,2017-06-05,George Day
39,Maria,Cohen,Male,2004-03-25,491-81-2987,bryanparsons@example.com,8439030548,"5054 Lauren Mews, Paulfurt, MA 24987",Research scientist (maths),Finance,102581,2023-01-06,Robert Adams
40,Christopher,Coleman,Female,1979-06-21,843-24-8938,manuel15@example.net,647-296-2757x0596,"8202 Johnson Cliff Apt. 556, New Ericmouth, MN 49261","Producer, radio",Engineering,77653,2023-09-22,Kendra Sanders
41,Debra,Wright,Other,1965-03-13,754-24-8177,hmcintyre@example.com,001-347-739-4731x21727,"844 Jennifer Squares, Port Michael, IN 16408","Engineer, control and instrumentation",Operations,91245,2024-01-06,Johnny Ward
42,Ashley,Mcdonald,Male,2004-04-30,133-79-1413,parkeryvonne@example.net,486.469.1251x7785,"8018 Kevin Estates, Sarahbury, MI 68513",Herpetologist,Operations,115435,2024-07-21,Mark Pierce
43,David,Turner,Female,1984-02-06,515-83-2763,georgeweber@example.net,690-601-0943x96907,"7102 Perry Mountain Apt. 592, Michellemouth, VA 45769",Oceanographer,Operations,110142,2017-05-26,Justin Flores
44,Steven,Adams,Male,1971-04-02,100-07-4755,alin@example.org,(959)653-2787,"8733 Williams Haven, Harperfort, LA 70846",Actuary,Finance,68301,2024-07-25,Stephen Luna
45,Kathryn,Diaz,Male,1978-02-13,584-72-3190,angela16@example.net,784.499.1216x558,"000 Jennifer Unions Suite 872, West Sarah, MD 21800","Nurse, learning disability",Operations,123579,2025-12-31,Elizabeth Rogers
46,Maria,Patel,Other,1991-12-27,307-61-0273,mark16@example.net,809-474-9930x9728,"91307 Barnes Loop, South Warren, RI 62315",Biomedical engineer,Finance,147912,2023-02-25,Kristina Bolton
47,Timothy,Bennett,Other,2003-02-23,471-69-5609,erica49@example.com,934.784.3443,"1986 Cardenas Trail Apt. 404, West Sandraview, WA 63294","Engineer, site",Sales,167679,2018-02-11,Taylor Horton
48,Derrick,Gilbert,Other,1986-07-02,249-07-8701,danawilliams@example.com,271-320-8267x73454,"026 Sarah Camp, Frenchburgh, WA 38442",Applications developer,Sales,97447,2016-03-08,Ashley Bird
49,Justin,Hays,Male,1984-07-17,506-18-8262,znelson@example.org,727-342-0549x32966,"27530 Reyes Mission, Stephanieport, OR 95250","Teacher, primary school",HR,116784,2016-03-16,Melissa Brown
50,David,Parker,Female,1978-05-03,515-91-5096,fowlershelia@example.com,+1-533-527-2795x687,"785 Samantha Creek, Port Amyhaven, ID 75566",Software engineer,Engineering,149061,2017-08-04,Joseph Wilson
51,Jamie,Aguilar,Male,1964-03-08,523-58-0912,aanderson@example.com,001-508-374-0640,"180 Valerie Mountains Apt. 462, Port Darlene, VA 85157",Petroleum engineer,Engineering,70033,2019-11-02,Joan Stark
52,Nicholas,Miller,Other,2003-06-25,896-70-2179,david86@example.net,(830)504-7868,"43106 John Cliff Apt. 907, East Joyfurt, NV 31216","Solicitor, Scotland",HR,153819,2018-04-07,Amy Gordon
53,Keith,Cabrera,Other,1993-01-04,327-74-9797,joel28@example.org,(744)808-9268x70568,"2873 Kevin Station Apt. 708, Faulknerside, NC 18076",Network engineer,Sales,128172,2018-07-10,Matthew Nielsen
54,Melanie,Davis,Male,1992-09-12,196-07-4399,mnunez@example.org,239-583-7354,"USS Burgess, FPO AA 32298",Trade mark attorney,Sales,100019,2023-02-17,David Morris
55,Justin,Owens,Other,1989-04-15,316-34-5893,zowens@example.net,853.655.6093x2048,"69378 Scott View Suite 772, Garyside, NM 24624",Special effects artist,Sales,119352,2025-12-30,Kelly Combs
56,Charles,Meyers,Female,1962-04-11,007-53-2253,carloshernandez@example.org,275.609.9770x08860,"86211 John River Suite 546, West Susanmouth, OK 32378",Equities trader,Marketing,162824,2019-02-03,Angela Frey
57,Debra,Johnson,Male,1978-05-01,387-71-7799,walshjacqueline@example.org,365.691.8033x9740,"PSC 9025, Box 0392, APO AP 52706",Camera operator,Operations,144466,2019-02-01,Lacey Atkinson
58,Erica,Fernandez,Male,1977-05-14,758-18-1285,brian63@example.org,899-496-5047x73586,"94311 Moore Station Apt. 655, North Adamport, NV 47676",Geophysicist/field seismologist,Operations,165970,2017-02-11,Jeffrey Hawkins
59,William,Garcia,Other,1964-02-16,568-12-9781,michelle04@example.com,(918)439-8262x2444,"6471 King Gateway Suite 993, Rodriguezport, AL 52365",Learning mentor,Finance,150741,2024-07-05,Scott Alexander
60,Ryan,Colon,Other,1989-05-23,609-18-4923,carrie37@example.com,(665)847-9356,"828 Stephanie Mountain, South Lauren, MP 91312",Broadcast presenter,Finance,64621,2024-04-13,Jennifer Porter
61,Cynthia,Allen,Female,1989-09-25,733-55-6177,colecarla@example.net,(488)268-0589x1135,"6101 Walker Summit Apt. 756, Bartonshire, UT 66098",Dentist,Sales,70730,2019-07-18,Brian Perry
62,Suzanne,Wilson,Female,2002-06-04,146-45-5111,stanley38@example.com,(371)477-5140x105,"USNS Black, FPO AP 21490",Lawyer,Engineering,175018,2021-09-10,Crystal Sullivan
63,Jack,Davidson,Other,1979-07-16,030-95-3233,yvargas@example.org,001-933-341-9182x553,"596 Matthews Keys Suite 792, Samanthashire, CO 88595",Contractor,Operations,84522,2019-03-24,Bruce Brooks
64,Donald,Price,Other,1986-12-07,589-50-6932,tommymedina@example.net,(282)774-2257,"USCGC Taylor, FPO AA 74108",Risk analyst,HR,116542,2022-08-16,John Mckinney
65,Scott,Jackson,Male,1985-07-15,815-98-3614,antonio38@example.com,(679)778-8191,"783 Garcia Village, West Nancy, AZ 59448",General practice doctor,Operations,89117,2019-07-31,Jessica Mcknight
66,Kimberly,Young,Other,1996-07-29,603-89-5745,imartin@example.org,709.658.4982,"126 Victoria Way Apt. 232, Mariafurt, NM 19135",Technical brewer,Marketing,129818,2022-06-02,Jaime Jones
67,Laura,Mack,Male,1978-03-22,768-36-6047,uclements@example.net,5179518636,"8929 Kramer Springs Apt. 017, North Sarahburgh, NV 60337",Academic librarian,HR,99009,2026-01-05,Zachary Blankenship
68,Nicole,Turner,Male,1999-06-11,898-36-1530,john52@example.org,(943)261-1037x1293,"62713 Davis Valley Apt. 155, Derrickberg, SD 89254",Customer service manager,Marketing,174977,2016-10-10,Lisa Martin
69,Michael,Lewis,Other,1993-10-07,422-79-7249,christophergarcia@example.org,001-565-665-2341,"438 Julie Hill, Port Rachaelbury, NM 51079","Clinical scientist, histocompatibility and immunogenetics",Engineering,128504,2018-07-03,Andrea Oneal
70,Alexander,Ward,Female,1974-05-02,397-73-6896,amy27@example.org,6918043006,"88924 Kyle Pass Apt. 285, Willisland, ME 92077",Press sub,Sales,52552,2023-05-24,Amy Miller
71,Ryan,Chavez,Male,1987-06-29,317-86-2878,smithderrick@example.org,(675)388-4252,"6481 Joseph Ports, South Spencerstad, AR 65985",Tax adviser,Finance,165175,2017-10-05,Raymond Shannon
72,Emily,Wilson,Female,1993-06-06,003-06-0202,brandoncox@example.org,(608)363-5365,"023 Stephanie Cliff, Clineport, MD 11823",Surgeon,HR,57592,2020-08-29,Eddie Mueller
73,Jodi,Sanchez,Male,1976-08-31,506-99-3202,edwardrandolph@example.org,585.505.0641,"41038 Haynes Landing, Villegasland, OR 13028",Risk analyst,Marketing,174118,2017-06-05,Angela Bradley
74,Ryan,Brandt,Male,1970-09-30,268-41-6439,louis43@example.org,729.812.1277,"74741 Eric Spur Suite 903, Eddiebury, MI 52437",Scientific laboratory technician,Engineering,145932,2016-07-31,Robert Thompson
75,Stephanie,Bond,Female,1985-02-10,564-32-1552,ygarcia@example.org,600-332-3651,"72151 Sheri Causeway, New Ryan, VA 52274",Research scientist (maths),Engineering,178186,2016-05-21,Carrie Lewis
76,Jacob,Ramirez,Other,1999-11-06,036-79-4027,victor87@example.org,246-826-3838,"8759 Price Falls Apt. 593, Port Kimberlyton, AS 62325",Senior tax professional/tax inspector,HR,66828,2019-09-01,Crystal Moore
77,John,Allen,Other,1984-02-10,811-95-0917,barbaramcgrath@example.com,(422)539-5590x599,"427 Christopher Fort Apt. 087, West Samanthaborough, AS 17604","Librarian, public",Sales,174105,2023-04-06,Sarah Morris
78,Andrew,Willis,Other,2001-05-15,793-15-8623,susan56@example.net,454-752-2675,"4422 Stacy Ports, Rosalesshire, AZ 24366",Town planner,HR,84741,2019-04-11,Lisa Bowman
79,Dalton,Crawford,Other,1974-12-30,080-31-5683,gary15@example.com,2438315410,"67658 Garcia Neck Apt. 271, West Andrewview, CT 10226","Lighting technician, broadcasting/film/video",Marketing,105461,2017-10-17,Nicholas Payne
80,Rachael,Davis,Male,1986-10-29,629-62-0508,kdunlap@example.net,(320)215-3368x84443,"05061 Colon Road Suite 310, East Danielle, CO 62572",Commercial art gallery manager,Marketing,148994,2019-03-06,John Guerrero
81,Christopher,Stephens,Other,1968-05-30,391-48-3057,cwilliams@example.com,534-290-2115x869,"793 Evans Locks Apt. 898, North Stacy, NV 23160",Diplomatic Services operational officer,Operations,76365,2025-10-25,Beth Henderson
82,Vanessa,Graham,Other,2004-12-21,643-19-9750,luis11@example.com,+1-868-354-8709,"991 Anna Courts, Mikaylastad, FM 54357","Geneticist, molecular",Finance,102296,2019-12-04,Mr. Andrew Hill
83,Douglas,Franklin,Other,1991-04-23,040-51-5432,brandonalvarez@example.com,(705)644-4713x247,"73678 Nicholson Passage, North Larry, NY 53373",Control and instrumentation engineer,Operations,98944,2023-11-25,Laura Thompson
84,Nancy,Gonzalez,Female,1962-09-08,034-59-0829,janet45@example.com,761.403.5797x27985,"140 Williams Walk Apt. 333, Denisehaven, AK 89918",Acupuncturist,Marketing,109177,2020-10-31,Christopher Owen
85,Jeffrey,Franklin,Male,2002-07-13,730-91-4512,wwoodard@example.com,637-648-9691x085,"54544 Lopez Path Apt. 096, Erintown, SD 65692",Hotel manager,HR,79451,2018-09-08,James Johnson
86,Jean,Armstrong,Male,1968-08-21,744-92-3644,qknox@example.com,542.782.4172x48251,"5549 Ford Crest Suite 099, South Pamelahaven, DE 89721",Museum/gallery curator,Finance,52757,2021-05-23,Seth Hernandez
87,Victoria,Cooper,Other,2004-07-08,469-19-5184,kimberlyfreeman@example.net,(450)907-4329,"96666 Reyes Camp, Lake Nathan, AL 42734",Set designer,Marketing,80161,2017-12-31,Lori Wright
88,Heather,Cooper,Other,1965-11-23,393-65-9645,gary04@example.com,889.285.6257x532,"09821 Dawson Turnpike, South Nancyview, WI 70589",Youth worker,HR,50942,2016-07-30,Mary Valdez MD
89,Hannah,Butler,Male,1977-03-16,561-33-7773,jamiejennings@example.org,661-384-9926x1891,"93483 Warner Hill Apt. 087, Lake Sarah, MA 31238","Accountant, chartered",Operations,132719,2016-03-21,Brian Andrews
90,Troy,Herring,Male,1995-03-05,077-93-1660,dawn74@example.com,201.420.4556x110,"5794 Nathan Junctions, North Richard, NH 36130",Musician,HR,58834,2022-12-29,Javier Mercado
91,Garrett,Anderson,Male,1992-10-13,865-21-1700,epruitt@example.net,+1-272-396-5902x77167,"89935 Ryan Stream Apt. 756, Port Margaret, MH 80836",Audiological scientist,Finance,59287,2016-03-17,Kathy Harrison
92,Tyler,Martin,Other,1993-11-28,329-31-5422,brent38@example.net,(963)217-7971x7751,"88019 Wu Points Apt. 755, Port Jeffreymouth, MA 73921",Water quality scientist,HR,86500,2022-02-03,Heidi Chavez
93,Connor,Hopkins,Other,1960-03-11,364-82-4784,jacqueline02@example.com,(561)949-3316,"516 Sara Villages, Port Patriciamouth, TN 77743",Retail merchandiser,Sales,78080,2017-06-09,Mr. Anthony Mcconnell PhD
94,Timothy,Romero,Other,2001-07-19,182-89-9480,jessicaanderson@example.com,+1-499-458-6693x46547,"858 James Road Suite 522, Jenniferstad, OH 63464",Television floor manager,HR,144811,2021-10-19,Jennifer Adkins
95,Maureen,Mitchell,Other,1998-03-23,828-02-8565,johnsondustin@example.net,5342244204,"98386 William Underpass Suite 066, Fryemouth, OH 07552","Administrator, Civil Service",Marketing,111953,2023-07-13,Sean Dalton
96,Scott,Perez,Male,1988-08-12,727-83-6026,kimberlybrandt@example.com,621.422.8160x648,"57202 Carlson Trail Suite 798, Charlesmouth, NC 29331",Educational psychologist,Sales,155840,2021-04-19,Caitlin Daniels
97,Richard,Bailey,Female,1999-11-06,680-43-5425,kelly98@example.com,+1-201-757-3993,"4840 Robertson Pass, Tuckerport, MH 85898","Engineer, automotive",HR,62363,2019-04-19,Brendan Bonilla
98,Kerri,Ferguson,Male,1988-04-21,216-86-3493,nhouston@example.net,001-661-320-7501x102,"6676 Stewart Loaf, New Adamland, WV 98274",Textile designer,Operations,106498,2016-07-19,Heather Shaw
99,Keith,Jennings,Female,1987-05-23,289-98-7171,qfoster@example.org,428.332.6842x4508,"814 Kaitlin Stream Suite 368, East Jack, RI 33628","Engineer, biomedical",Sales,103883,2017-03-28,Latoya Brown
100,Karen,Branch,Female,1984-10-16,661-71-1199,emily41@example.org,001-997-955-2314x9135,"929 Aguirre Meadow Apt. 053, Lake Jodi, NE 36765",Media buyer,Operations,57100,2017-06-08,Sherry Ford
